pilot,comparator,name,role,implementation,development_execution,selected_configuration,cycles,failed_calibration_attempts,positive_utility_eligible,positive_pairing_eligible,resource_certified,confirmatory
P5,C0,independent_channels_without_nominated_pairing,architecture_comparison,implemented,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P5,C1,nominated_operational_relation,architecture_comparison,implemented,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P5,C2,mean_of_two_fixed_degree_preserving_three_cell_source_cycles,architecture_comparison,implemented,instrument_only_architecture_blocked,not_selected,both_fixed_cycles_mean,0,False,False,False,False
P5,C3,comparable_sparse_generic_typed_graph,architecture_comparison,implemented,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P5,C4,conventional_domain_controller,architecture_comparison,blocked_source_conflict,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P5,C5,descriptive_double_capacity_generic_controller,descriptive_capacity,implemented,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P5,C6,exact_invertible_recoding_algebraic_control,algebraic_control,implemented,instrument_only_architecture_blocked,not_selected,not_applicable,0,False,False,False,False
P6,C0,independent_channels_without_nominated_pairing,architecture_comparison,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,False,False,False,False
P6,C1,nominated_operational_relation,architecture_comparison,implemented,executed_nonconfirmatory,cfg00,not_applicable,0,False,False,False,False
P6,C2,mean_of_two_fixed_degree_preserving_three_cell_source_cycles,architecture_comparison,implemented,executed_nonconfirmatory,cfg00,both_fixed_cycles_mean,0,False,False,False,False
P6,C3,comparable_sparse_generic_typed_graph,architecture_comparison,implemented,executed_nonconfirmatory,cfg00,not_applicable,0,False,False,False,False
P6,C4,conventional_domain_controller,architecture_comparison,implemented,executed_nonconfirmatory,fixed,not_applicable,0,False,False,False,False
P6,C5,descriptive_double_capacity_generic_controller,descriptive_capacity,implemented,executed_nonconfirmatory,cfg00,not_applicable,0,False,False,False,False
P6,C6,exact_invertible_recoding_algebraic_control,algebraic_control,implemented,executed_nonconfirmatory,cfg00,not_applicable,0,False,False,False,False
P7,C0,independent_channels_without_nominated_pairing,architecture_comparison,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,True,True,False,False
P7,C1,nominated_operational_relation,architecture_comparison,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,True,True,False,False
P7,C2,mean_of_two_fixed_degree_preserving_three_cell_source_cycles,architecture_comparison,implemented,executed_nonconfirmatory,cfg00,both_fixed_cycles_mean,0,True,True,False,False
P7,C3,comparable_sparse_generic_typed_graph,architecture_comparison,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,True,True,False,False
P7,C4,conventional_domain_controller,architecture_comparison,implemented,executed_nonconfirmatory,fixed,not_applicable,0,True,True,False,False
P7,C5,descriptive_double_capacity_generic_controller,descriptive_capacity,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,True,True,False,False
P7,C6,exact_invertible_recoding_algebraic_control,algebraic_control,implemented,executed_nonconfirmatory,cfg01,not_applicable,0,True,True,False,False
